captive,line_of_coverage,gross_written_premium,target_loss_ratio,expected_losses,LAE_pct_of_loss,LAE_dollars,key_drivers
Health Captive (MT),Group Medical + Rx,132330000,78.0%,103217400,n/a (TPA admin handled separately),0,Medical trend 6.5%; Rx specialty inflation 11%; GLP-1 utilization; large claimant frequency
Casualty Captive (VT),Medical Malpractice,124775000,60.0%,74865000,12.0%,8983800,Severity tail (neuro/spine >$2M); social inflation; nuclear verdicts; claim frequency 4-6 per 100 surgeons
Casualty Captive (VT),General Liability,2000000,55.0%,1100000,8.0%,88000,Slip & fall; premises ops; moderate frequency
Casualty Captive (VT),Employment Practices Liability,1200000,50.0%,600000,15.0%,90000,Wage & hour; harassment claims; defense-heavy
Casualty Captive (VT),Directors & Officers,750000,40.0%,300000,20.0%,60000,Low frequency / high severity for healthcare D&O
Casualty Captive (VT),Cyber Liability,700000,55.0%,385000,12.0%,46200,PHI breach severity; ransomware tail; rising trend
Casualty Captive (VT),Auto Liability,350000,55.0%,192500,8.0%,15400,Standard commercial auto exposure
Property Captive (Cayman),Property,600000,45.0%,270000,5.0%,13500,Equipment breakdown; weather; geographic concentration TBD
Property Captive (Cayman),Business Interruption,200000,45.0%,90000,5.0%,4500,12-month BI; correlated with property triggers
TOTAL,,262905000,68.9%,181019900,,9301400,Weighted target loss ratio across all lines
